9	3	8	5
19	3	4	9
24	17	5	10
18	43	24	28
16	6	4	4
6	32	23	40
21	24	5	3
24	4	7	23
6	34	19	16
17	4	23	26
13	33	15	8
11	24	24	31
9	14	21	12
24	22	10	36
2	13	1	19
9	30	18	32
5	29	24	19
19	44	9	23
19	46	8	14
18	15	25	43
11	40	24	6
26	40	26	40
1	5	13	16
24	33	24	19
8	6	24	42
2	21	8	42
14	40	18	4
22	16	25	20
16	23	21	4
22	24	26	16
12	27	25	43
12	9	23	34
7	35	1	15
26	1	5	30
1	0	19	32
26	14	23	33
5	29	2	5
18	24	20	3
26	1	10	3
19	4	22	39
8	22	22	45
18	7	8	12
13	15	2	0
16	17	23	21
22	12	26	4
25	8	24	6
16	18	26	32
24	8	8	21
1	7	4	3
8	3	1	9
26	23	9	30
1	11	4	23
13	32	24	39
17	9	26	17
8	9	24	6
12	32	9	12
7	35	1	17
16	17	12	25
2	10	8	4
6	33	2	20
